cve_muni,entidad,municipio,ic_rezedu_porcentaje,ic_asalud_porcentaje,ic_segsoc_porcentaje,ic_cv_porcentaje,ic_sbv_porcentaje,ic_ali_porcentaje
05023,Coahuila,Ocampo,20.3572174893,10.136449864,46.9397619299,7.6920866376,18.5087262329,11.434180034
05024,Coahuila,Parras,13.2530975855,8.2464542934,39.6818156378,5.6550178294,9.9079862379,19.810637114
05025,Coahuila,Piedras Negras,12.7289285796,11.8868537475,26.1020394015,7.4862504428,2.5863093305,16.408138164
05026,Coahuila,Progreso,21.6011539849,8.6909484313,31.3739632167,3.8225748287,8.9433826181,12.4774612333
05027,Coahuila,Ramos Arizpe,12.195262405,11.3424955203,24.7233399987,2.7974241388,3.2164925315,17.0833405323
05028,Coahuila,Sabinas,11.5308906228,8.3433546448,28.941752905,4.3780880677,4.0088421444,8.7011610603
05029,Coahuila,Sacramento,15.1714419915,10.8031939878,34.3823391264,3.287928605,7.5622357915,6.2940347581
05030,Coahuila,Saltillo,10.1600280587,13.7529083856,30.1849661377,3.8697036292,3.3637262696,16.8582257843
05031,Coahuila,San Buenaventura,10.1186766551,12.3552801949,26.8638796072,2.2141191837,4.3503956802,10.3700672676
05032,Coahuila,San Juan de Sabinas,12.5957488677,4.9481029319,24.910665568,6.7252094748,6.6271742326,9.9347586921
05033,Coahuila,San Pedro,17.4115444036,10.9641889413,44.3758883101,7.2117750537,13.9087460498,23.41523504
05034,Coahuila,Sierra Mojada,14.7646781048,9.0036203368,31.0876751141,11.0341570911,5.5092082481,11.490634346
05035,Coahuila,Torreón,10.1385424448,20.1678668314,33.6148280493,3.7359054431,1.8924526721,20.4316064349
05036,Coahuila,Viesca,22.7303488971,15.0355452946,41.5253215413,8.9250912933,20.2215779445,26.9366993457
05037,Coahuila,Villa Unión,16.4019337017,9.3577348066,36.4468232044,7.8038674033,10.2382596685,10.3245856354
05038,Coahuila,Zaragoza,19.6332065553,10.3026816102,42.9028813711,7.6629135506,8.0365852051,9.4112592147
06001,Colima,Armería,29.4784374886,8.0918585904,69.7357057683,15.6818729002,24.3365804447,28.08621376
06002,Colima,Colima,14.1172063523,15.9763625826,48.2240671927,4.5171032285,4.2478939793,16.8281946127
06003,Colima,Comala,19.768818995,12.5944563556,72.384472422299993,11.8878036752,30.6479753025,20.7845817507
06004,Colima,Coquimatlán,22.7504091864,10.5427371262,64.1635768198,10.2470319626,17.1997348716,19.7505694636
06005,Colima,Cuauhtémoc,17.4771096469,7.5034285427,48.2682591438,3.9594704753,7.2146563805,16.0161508042
06006,Colima,Ixtlahuacán,27.0005869693,2.8957151242,81.4713363334,12.2285267071,33.0072392878,36.9008021914
06007,Colima,Manzanillo,16.4375928335,14.8070933633,45.294893651,10.8430148693,7.5061437162,17.3442365688
06008,Colima,Minatitlán,20.8060328842,5.4394857213,50.0309061689,11.6207194956,26.6782049697,23.439238472
06009,Colima,Tecomán,27.1750902073,12.7008823948,66.9364225368,15.9087622381,16.5792885248,28.140855546
06010,Colima,Villa de Álvarez,10.3720942706,14.0608518287,44.6719212322,4.8845758155,2.9610464945,15.624131029
07001,Chiapas,Acacoyagua,30.4416605169,17.8442179739,91.5223636406,27.1912431903,70.2030091225,22.2058199775
07002,Chiapas,Acala,31.0208397797,10.2965384495,84.5410515362,31.9901815304,50.4753969103,26.1961611045
07003,Chiapas,Acapetahua,34.1482404026,21.163350034,89.4596669281,32.7013190176,79.3567003115,24.1704935954
07004,Chiapas,Altamirano,43.5279059584,15.4164842197,91.7073663646,29.879753444,74.56296945,22.7356933544
07005,Chiapas,Amatán,40.4156982905,5.7339037942,93.1615976352,24.9179980611,91.0127719827,13.6250809883
07006,Chiapas,Amatenango de la Frontera,38.0562729502,12.3754749282,92.087448477,20.4974103191,67.7905228438,30.8452298383
07007,Chiapas,Amatenango del Valle,49.4370860927,16.9094922737,80.5629139073,38.0353200883,58.995584989,34.8123620309
07008,Chiapas,Angel Albino Corzo,37.1923324621,12.2675277461,93.2241342063,37.2670041112,67.3227994475,28.3006209598
07009,Chiapas,Arriaga,24.9103640789,15.6045912478,79.9195319763,15.1280897633,41.3131124154,36.723728901
07010,Chiapas,Bejucal de Ocampo,38.2679929783,6.8022235225,91.6471620831,37.8145114102,56.8022235225,7.8115857226
07011,Chiapas,Bella Vista,34.692171546,7.4830520382,83.5111179179,26.2324983418,83.0265447118,23.1788338368
07012,Chiapas,Berriozábal,31.6404422738,25.3871989669,79.3062847472,22.9923994751,39.472890376,22.3879556945
07013,Chiapas,Bochil,27.9316201938,16.2519403558,85.442270723,34.8462374599,58.3081940384,36.6776555766
07014,Chiapas,El Bosque,40.0191648174,15.402461166,95.4155739358,45.0020173492,82.3633245915,40.4579382691
07015,Chiapas,Cacahoatán,26.6051383729,25.9587000521,77.9250034234,28.1202657179,56.1215000089,20.8228827896
07016,Chiapas,Catazajá,32.5440343232,8.5988042123,89.5770102774,28.250257628,74.97377077,25.3404996808
07017,Chiapas,Cintalapa,25.7848551288,17.3861133064,81.2885367174,19.3124026728,41.1412137361,30.7341315783
07018,Chiapas,Coapilla,35.8531909066,9.1070939469,91.3585319091,32.9772665023,50.3971514654,16.1325664202
07019,Chiapas,Comitán de Domínguez,28.957231916,15.123090397,83.6738991848,13.5719243256,37.4650329089,26.1328913206
07020,Chiapas,La Concordia,37.7745039715,12.6785453553,94.1058904926,39.7445994259,76.3431366454,30.5509605335
07021,Chiapas,Copainalá,27.7526473189,13.2749125523,87.6052625215,26.4794550569,56.26234336,16.3398408543
07022,Chiapas,Chalchihuitán,47.5938009788,16.7482327352,94.1272430669,65.6946710169,93.875747689,20.8197389886
07023,Chiapas,Chamula,54.598818468,20.3619852748,94.0120661758,44.9885233359,91.1761385729,19.198013220100002
07024,Chiapas,Chanal,32.7038396134,4.9136310749,94.5941108028,60.6999015484,90.9066499597,31.549270563
07025,Chiapas,Chapultenango,27.3361823362,11.6666666667,89.1168091168,30.6837606838,74.943019943,16.7663817664
07026,Chiapas,Chenalhó,45.716641635,18.6117737138,95.1379686074,60.2202785876,93.338634155,24.8932473422
07027,Chiapas,Chiapa de Corzo,24.9269444394,18.7533608291,74.1890282814,25.1496129676,41.8071876919,29.8094568411
07028,Chiapas,Chiapilla,41.9741697417,9.3357933579,89.3357933579,45.405904059,53.0811808118,28.9667896679
07029,Chiapas,Chicoasén,27.497621313,13.1541389153,68.9105613701,27.6165556613,35.6327307326,15.7469077069
07030,Chiapas,Chicomuselo,40.5373563068,12.9415542573,92.9074448978,30.8854990433,80.5920422214,23.2191993906
07031,Chiapas,Chilón,39.8799117644,16.4746048163,92.2674892223,59.3475694031,92.8011130129,16.6979396447
